ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10365288,HY556614,12/31/2015 06:45:00 PM,012XX W CORNELIA AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1924,19,44,6,5,1167313,1923376,2015,01/07/2016 16:14,41.94530069,-87.6604216,"(41.945300688, -87.660421604)"
10364559,HY556482,12/31/2015 06:45:00 PM,008XX N TOWER CT,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1833,18,42,8,08B,1177137,1905829,2015,01/07/2016 16:14,41.89693378,-87.62484553,"(41.89693378, -87.624845526)"
10364793,HZ100168,12/31/2015 06:45:00 PM,034XX N OLCOTT AVE,610,BURGLARY,FORCIBLE ENTRY,POOL ROOM,false,false,1631,16,36,17,5,1125481,1921837,2015,01/07/2016 16:14,41.9418757,-87.81421693,"(41.941875703, -87.814216929)"
10364596,HY556489,12/31/2015 06:45:00 PM,053XX W CHICAGO AVE,460,BATTERY,SIMPLE,SIDEWALK,false,false,1524,15,37,25,08B,1140427,1904813,2015,01/07/2016 16:14,41.89489847,-87.75970165,"(41.894898468, -87.759701652)"
10364636,HY556474,12/31/2015 06:37:00 PM,017XX N KOSTNER AVE,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,2533,25,31,23,3,1146784,1911248,2015,01/07/2016 16:14,41.91243778,-87.73618934,"(41.912437783, -87.736189335)"
10364762,HY556468,12/31/2015 06:30:00 PM,027XX S INDIANA AVE,1020,ARSON,BY FIRE,RESIDENCE PORCH/HALLWAY,false,false,133,1,2,35,9,1178044,1886556,2015,01/07/2016 16:14,41.84402694,-87.62210081,"(41.844026941, -87.622100808)"
10365222,HZ100670,12/31/2015 06:30:00 PM,035XX S WENTWORTH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,915,9,3,34,14,1175526,1881504,2015,01/07/2016 16:14,41.8302207,-87.63149279,"(41.830220698, -87.631492793)"
10364500,HY556469,12/31/2015 06:30:00 PM,008XX E DREXEL SQUARE DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,233,2,4,41,08B,1182638,1871058,2015,01/07/2016 16:14,41.80139369,-87.60572357,"(41.801393686, -87.605723566)"
10364639,HY556577,12/31/2015 06:30:00 PM,002XX S CAMPBELL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1125,11,2,28,7,1159782,1898839,2015,01/07/2016 16:14,41.87812819,-87.68878044,"(41.878128185, -87.68878044)"
10365692,HZ101469,12/31/2015 06:30:00 PM,001XX E ONTARIO ST,890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,1834,18,42,8,6,1177520,1904525,2015,01/07/2016 16:14,41.89334686,-87.62347847,"(41.893346855, -87.623478469)"
